source,title,authors,year,doi,url
IEEE Xplore,Benchmarking Joint Face Spoofing and Forgery Detection With Visual and Physiological Cues,Z. Yu; R. Cai; Z. Li; W. Yang; J. Shi; A. C. Kot,2024,10.1109/TDSC.2024.3352049,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10387780
IEEE Xplore,WaveDIF: Wavelet Sub-Band based Deepfake Identification in Frequency Domain,A. Dutta; A. K. Das; R. Naskar; R. S. Chakraborty,2025,10.1109/CVPRW67362.2025.00627,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11148061
IEEE Xplore,Within 3DMM Space: Exploring Inherent 3D Artifact for Video Forgery Detection,C. Peng; T. Xu; D. Liu; N. Wang; X. Gao,2025,10.1109/TIFS.2025.3592557,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11095790
IEEE Xplore,Leveraging Spatial-Temporal Illumination Features and Convolution-Transformer Hybrid Networks for Deepfake Video Detection,G. Zhang; Y. Liang; K. Tian; J. Yi; H. Alsolai; M. Liu; X. Hu,2025,10.1109/TCE.2025.3624764,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11215793
IEEE Xplore,DF-VLAD: Deepfake Video Detection based on Feature Aggregation,Y. Huang; Z. Luo; M. Zhang; W. Liu; S. Li,2021,10.1109/ITME53901.2021.00029,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9750563
IEEE Xplore,A Comparative Analysis of Machine Learning and Deep Learning Approaches in Deepfake Detection,M. Vashistha; S. Jain; S. Pandey; A. Pradhan; S. Tarwani,2024,10.1109/TENSYMP61132.2024.10752209,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10752209
IEEE Xplore,Comparative Analysis Of Deep Learning for Robust Deepfake Detection,R. Kapoor; V. Mehndiratta; J. Singh,2024,10.1109/AECE62803.2024.10911049,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10911049
IEEE Xplore,Detecting Digital Deception: A CNN-RNN hybrid Approach of Deepfake Detection,H. Singh; R. Kumar; M. Gupta; V. S. Babu Chilluri,2025,10.1109/ICPCT64145.2025.10940830,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10940830
IEEE Xplore,Enhancing the Detection of Deepfake Audio Using Explainable AI Techniques for Secure and Trustworthy Applications,B. Naresh; R. Ch; K. S. Reddy; S. Srinivas; A. N. Sheikh; K. Raghavendar,2025,10.1109/ICAMIDA64673.2025.11209741,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11209741
IEEE Xplore,Hierarchical ST-CEN with Dynamic Attention Mechanisms for Enhanced Deepfake Image Detection,P. GS; A. T,2023,10.1109/ICI3C60830.2023.00078,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10729784
IEEE Xplore,Video Forensic Analysis Using Deep Learning Models,V. T. R.; A. Ajina; H. Dongare; S. Joshi; G. L. S. Varma; R. D. Rathod,2025,10.1109/ETCC65847.2025.11108521,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11108521
IEEE Xplore,Enhancing Deepfake Detection Through Dynamics of Facial Expressions,V. K. Sharma; S. Rawat,2025,10.1109/ICICV64824.2025.11085942,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11085942
IEEE Xplore,Artifacts-Disentangled Adversarial Learning for Deepfake Detection,X. Li; R. Ni; P. Yang; Z. Fu; Y. Zhao,2023,10.1109/TCSVT.2022.3217950,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9931753
IEEE Xplore,DFFMD: A Deepfake Face Mask Dataset for Infectious Disease Era With Deepfake Detection Algorithms,N. M. Alnaim; Z. M. Almutairi; M. S. Alsuwat; H. H. Alalawi; A. Alshobaili; F. S. Alenezi,2023,10.1109/ACCESS.2023.3246661,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10049065
IEEE Xplore,"Deepfake Video Detection Based on Spatial, Spectral, and Temporal Inconsistencies Using Multimodal Deep Learning",J. K. Lewis; I. E. Toubal; H. Chen; V. Sandesera; M. Lomnitz; Z. Hampel-Arias; C. Prasad; K. Palaniappan,2020,10.1109/AIPR50011.2020.9425167,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425167
IEEE Xplore,MSVT: Multiple Spatiotemporal Views Transformer for DeepFake Video Detection,Y. Yu; R. Ni; Y. Zhao; S. Yang; F. Xia; N. Jiang; G. Zhao,2023,10.1109/TCSVT.2023.3281448,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138555
IEEE Xplore,Deepfakes Detection Methods: A Literature Survey,M. Weerawardana; T. Fernando,2021,10.1109/ICIAfS52090.2021.9606067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9606067
IEEE Xplore,MCL: Multimodal Contrastive Learning for Deepfake Detection,X. Liu; Y. Yu; X. Li; Y. Zhao,2024,10.1109/TCSVT.2023.3312738,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10243082
IEEE Xplore,Generalizable Deepfake Detection With Phase-Based Motion Analysis,E. Prashnani; M. Goebel; B. S. Manjunath,2025,10.1109/TIP.2024.3441821,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10685029
IEEE Xplore,Deepfake Video Prediction Using Attention-Based CNN and Mel-Frequency Cepstral Coefficients,G. S; S. G. A; J. D; A. J,2024,10.1109/ICEEICT61591.2024.10718393,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10718393
IEEE Xplore,WaterLo: Protect Images from Deepfakes Using Localized Semi-Fragile Watermark,N. Beuve; W. Hamidouche; O. Déforges,2023,10.1109/ICCVW60793.2023.00046,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10350953
IEEE Xplore,Detection of Deepfake Environmental Audio,H. Ouajdi; O. Hadder; M. Tailleur; M. Lagrange; L. M. Heller,2024,10.23919/EUSIPCO63174.2024.10715076,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10715076
IEEE Xplore,FairSSD: Understanding Bias in Synthetic Speech Detectors,A. K. Singh Yadav; K. Bhagtani; D. Salvi; P. Bestagini; E. J. Delp,2024,10.1109/CVPRW63382.2024.00445,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677928
IEEE Xplore,Detecting Manipulated Audio Using Adaboost Machine Learning Algorithm,B. V. Kumar; Y. Ayyappa; P. J. Sai; T. Varun; S. N. Babu; Y. U. S. S. Teja,2024,10.1109/InCACCT61598.2024.10550994,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10550994
IEEE Xplore,Towards Quantifying and Reducing Language Mismatch Effects in Cross-Lingual Speech Anti-Spoofing,T. Liu; I. Kukanov; Z. Pan; Q. Wang; H. B. Sailor; K. A. Lee,2024,10.1109/SLT61566.2024.10832142,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10832142
IEEE Xplore,Boosting Deep Feature Fusion-Based Detection Model for Fake Faces Generated by Generative Adversarial Networks for Consumer Space Environment,F. Alrowais; A. Abbas Hassan; W. Sulaiman Almukadi; M. H. Alanazi; R. Marzouk; A. Mahmud,2024,10.1109/ACCESS.2024.3470128,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10699337
IEEE Xplore,Deepfake Detection: A Multi-Algorithmic and Multi-Modal Approach for Robust Detection and Analysis,S. Nailwal; S. Singhal; N. T. Singh; A. Raza,2023,10.1109/RMKMATE59243.2023.10369155,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10369155
IEEE Xplore,ConTrans-Detect: A Multi-Scale Convolution-Transformer Network for DeepFake Video Detection,W. Sun; Y. Ma; H. Zhang; R. Wang,2023,10.1109/M2VIP58386.2023.10413387,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10413387
IEEE Xplore,Learning to Listen and Listening to Learn: Spoofed Audio Detection Through Linguistic Data Augmentation,Z. Khanjani; L. Davis; A. Tuz; K. Nwosu; C. Mallinson; V. P. Janeja,2023,10.1109/ISI58743.2023.10297267,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10297267
IEEE Xplore,Deepfake Detection From Face-swapped Videos Using Transfer Learning Approach,M. T. Hasan Fuad; F. Bin Amin; S. M. Masudul Ahsan,2023,10.1109/ICCIT60459.2023.10441067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10441067
IEEE Xplore,Enhancing Authenticity Verification with Transfer Learning and Ensemble Techniques in Facial Feature-Based Deepfake Detection,N. Qazi; I. Ahmed,2024,10.1109/ICPRS62101.2024.10677831,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677831
IEEE Xplore,Towards Analysis Detection of Deepfake Video via Deep Learning Models: A Review,S. Altamimi; W. Salameh,2024,10.1109/IJCC64742.2024.10847278,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10847278
IEEE Xplore,"A Comprehensive Comparative Analysis of Deepfake Detection Techniques in Visual, Audio, and Audio-Visual Domains",A. A. Bekheet; A. Ghoneim; G. Khoriba,2024,10.1109/IMSA61967.2024.10652683,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10652683
IEEE Xplore,Detection of Compressed DeepFake Video Drawbacks and Technical Developments,A. -S. Humidan; L. N. Abdullah; A. A. Halin,2022,10.1109/ICSPIS57063.2022.10002433,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10002433
IEEE Xplore,"Multimodal Cognitive Learning for Media Forgery Detection: A Comprehensive Framework Combining Random Forest and Deep Ensemble Architectures (Xception, ResNeXt) across Image, Video, and Audio Modalities",A. Abirami; S. Bhuvaneswari; K. Krithika; I. Nithyasree; B. Prashithaa Abhirami,2023,10.1109/ICIMIA60377.2023.10426415,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10426415
IEEE Xplore,BSM-DND: Bias and Sensitivity-Aware Multilingual Deepfake News Detection Using Bloom Filters and Recurrent Feature Elimination,M. Al-Naeem; M. M. Hafizur Rahman; A. Banerjee; A. Sufian,2025,10.1109/ACCESS.2025.3609831,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11169321
IEEE Xplore,Identification of Deepfakes using Strategic Models and Architectures,S. R. Nallapati; D. Dommeti; S. Medhalavalasa; K. K. Bonku; P. V. V. S. Srinivas; D. Bhattacharyya,2023,10.1109/ICSCDS56580.2023.10104880,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10104880
IEEE Xplore,Forensic Challenges in Face Manipulated Videos,N. Sharma; K. Mallampalli; R. S. Iyengar,2025,10.1109/MAPR67746.2025.11134019,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11134019
IEEE Xplore,Detection of Deepfake Video using Deep Learning and MesoNet,L. Rebello; L. Tuscano; Y. Shah; A. Solomon; V. Shrivastava,2023,10.1109/ICCES57224.2023.10192854,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10192854
IEEE Xplore,XWSB: A Blend System Utilizing XLS-R and Wavlm With SLS Classifier Detection System for SVDD 2024 Challenge,Q. Zhang; S. Wen; F. Yan; T. Hu; J. Li,2024,10.1109/SLT61566.2024.10832183,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10832183
IEEE Xplore,Deepfake Detection Using AI And Machine Learning Algorithms,G. Chandel; A. Kumar; K. Malik; K. Gurani; K. Gahlawat; S. K. Saini,2025,10.1109/IC2E365635.2025.11167331,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11167331
IEEE Xplore,Deciphering Deception-LSTM Combats Deepfake Audios,Y. Acharya; J. Tyagi; M. Jangid,2024,10.1109/ICTACS62700.2024.10841007,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10841007
IEEE Xplore,Review of Deepfake Detection Techniques and Challenges,N. S. Ahmad Sharawardi; S. -H. Liew; P. Turumugon; A. Subramaniam,2025,10.1109/ICCBE65177.2025.11255645,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11255645
IEEE Xplore,Advancements in Deepfake Detection: Leveraging Bi-LSTM-CNN Architecture for Robust Identification,O. Tantawy; A. Elshafee,2024,10.1109/NILES63360.2024.10753235,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10753235
IEEE Xplore,Real-Time Deepfake Detection using a Hybrid MobileNet-LSTM Model For Image and Video Analysis,S. Ambika; Y. Harini; B. R. Sumanth,2025,10.1109/ICCMC65190.2025.11140856,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11140856
IEEE Xplore,A Survey on Deepfake Video Detection Techniques Using Deep Learning,A. Das; K. S. A. Viji; L. Sebastian,2022,10.1109/ICNGIS54955.2022.10079802,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10079802
IEEE Xplore,Deepfake Detection Based on LSTM Networks with Facial Geometric Features,D. Xiong; Z. Wen; C. Zhang; P. Xiao; M. Wu,2025,10.1109/EICCT65471.2025.11099876,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11099876
IEEE Xplore,AWaveFormer: Audio Wavelet Transformer Network for Generalized Audio Deepfake Detection,R. Wang; Z. Chen; B. Wang; Z. Ba; K. Ren,2025,10.1109/TASLPRO.2025.3611229,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11168216
IEEE Xplore,A Hybrid Xception-LSTM Model with Channel and Spatial Attention Mechanism for Deepfake Video Detection,D. Dagar; D. K. Vishwakarma,2023,10.1109/ICMNWC60182.2023.10435983,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10435983
IEEE Xplore,Multi-Label Deepfake Classification,I. P. Singh; N. Mejri; V. D. Nguyen; E. Ghorbel; D. Aouada,2023,10.1109/MMSP59012.2023.10337658,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10337658
IEEE Xplore,"Quantitative Dissection of Spatial, Temporal, and Frequency Features in Deepfake Detection",Y. Tiwari; D. Saxena; F. -R. Hsu; A. Yadav,2025,10.1109/IC2E365635.2025.11166815,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11166815
IEEE Xplore,DIP: Diffusion Learning of Inconsistency Pattern for General DeepFake Detection,F. Nie; J. Ni; J. Zhang; B. Zhang; W. Zhang,2025,10.1109/TMM.2024.3521766,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10814697
IEEE Xplore,Deepfake Detection Using Robust Spatial and Temporal Features from Facial Landmarks,M. Li; B. Liu; Y. Hu; L. Zhang; S. Wang,2021,10.1109/IWBF50991.2021.9465076,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9465076
IEEE Xplore,Emergent Capability in Audio Deepfake Detection,Y. Deng; A. Laprevotte; R. Dunn; P. Khorrami; C. Dagli; P. Torres-Carrasquillo,2025,10.1109/IWBF63717.2025.11113428,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113428
IEEE Xplore,Masked Relation Learning for DeepFake Detection,Z. Yang; J. Liang; Y. Xu; X. -Y. Zhang; R. He,2023,10.1109/TIFS.2023.3249566,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10054130
IEEE Xplore,Capsule Networks and LSTM Models for Robust Deepfake Detection in Audio and Video,A. M. B.; J. W. Kathrine; S. Kushmitha,2024,10.1109/ICICNIS64247.2024.10823109,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10823109
IEEE Xplore,XLSR-Mamba: A Dual-Column Bidirectional State Space Model for Spoofing Attack Detection,Y. Xiao; R. K. Das,2025,10.1109/LSP.2025.3547861,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10909468
IEEE Xplore,Deepfake detection based on Spatio-Temporal Fusion,T. Chen; J. Hu; S. Yang,2025,10.1109/ICIMCT.2025.00024,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11185707
IEEE Xplore,ForgeryDetect: AI-driven Deep Fake Identification,A. Bharti; V. K. Sinha; J. S. P. Peter; P. E. B,2024,10.1109/ICRISST59181.2024.10922001,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10922001
IEEE Xplore,Enhancing Deepfake Video Detection: A Hybrid CNN-LSTM Approach,D. Singh; P. Singh; R. Bhandari,2024,10.1109/TIACOMP64125.2024.00031,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10742777
IEEE Xplore,Fighting Malicious Media Data: A Survey on Tampering Detection and Deepfake Detection,J. Wang; Z. Li; C. Zhang; J. Chen; Z. Wu; L. S. Davis; Y. -G. Jiang,2025,10.1109/JPROC.2025.3576367,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11048678
IEEE Xplore,ExplaNET: A Descriptive Framework for Detecting Deepfakes With Interpretable Prototypes,F. Khalid; A. Javed; K. M. Malik; A. Irtaza,2024,10.1109/TBIOM.2024.3407650,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10542403
IEEE Xplore,Deepfake Video Detection by Combining Convolutional Neural Network (CNN) and Recurrent Neural Network (RNN),Y. Al-Dhabi; S. Zhang,2021,10.1109/CSAIEE54046.2021.9543264,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9543264
IEEE Xplore,Content-Invariant Spatio-Temporal Neural Framework for Forgery Detection in Image Sequences,V. Buzovsky; J. Prinosil; K. Riha; Z. Smekal,2025,10.1109/ICUMT67815.2025.11268794,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268794
IEEE Xplore,Research on Real-Time Deepfake Image Detection System Based on a Self-Supervised Learning Framework,Z. Guo; Z. Li; Y. Peng; X. Kong,2024,10.1109/IAECST64597.2024.11118130,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11118130
IEEE Xplore,Model-Agnostic Method: Exposing Deepfake Using Pixel-Wise Spatial and Temporal Fingerprints,J. Yang; Y. Sun; M. Mao; L. Bai; S. Zhang; F. Wang,2023,10.1109/TBDATA.2023.3284272,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10146470
IEEE Xplore,Enhancing Accuracy in Image Recognition for Deepfaked Images using Convolutional Networks Compared with LSTM Algorithm,C. A. S; S. R; S. Krishnan,2025,10.1109/ICIDCA66325.2025.11280513,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11280513
IEEE Xplore,A Hybrid MobileNet-LSTM Model for Enhanced Detection of Deepfake Media in Real-Time Image and Video Analysis,N. Subhasri; M. Gangadhar; M. Divakar; N. E. Bhanu Chandra Goud; M. Ramaraju; K. Sreenivasulu,2025,10.1109/ICOECA66273.2025.00188,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11113971
IEEE Xplore,ConvNext-PNet: An interpretable and explainable deep-learning model for deepfakes detection,H. Ilyas; A. Javed; K. M. Malik,2024,10.1109/IJCB62174.2024.10744484,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10744484
IEEE Xplore,Advancements in Deepfake Detection: A Comprehensive Review of AI-Driven Approaches,D. L. R; B. B. Sujitha,2025,10.1109/ICMLAS64557.2025.10967658,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10967658
IEEE Xplore,Unmasking the Reality: A Comprehensive Study of Deepfake Identification Techniques and Their Expanding Terrain,S. Sharma; D. M. Pathak; D. Jain; S. Srivastava; P. Vats; G. M. Upadhyay,2025,10.1109/CICTN64563.2025.10932620,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10932620
IEEE Xplore,Spatio-Temporal Convolutional Neural Networks for Deepfake Detection: An Empirical Study,V. K. Sharma; R. Garg; Q. Caudron,2023,10.1109/ICI60088.2023.10420892,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10420892
IEEE Xplore,Detecting Deepfakes using Temporal Consistency of Facial Expression Transitions,R. E. Chacko; G. Bajwa,2025,10.1109/PST65910.2025.11268852,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11268852
IEEE Xplore,GASGM-GFT: Gaussian Attenuation Singing Graph Model and Graph Fourier Transform for Singing Voice Deepfake Detection,B. Wu; Q. Qian; L. Ran; H. Wang,2025,10.1109/IJCNN64981.2025.11228680,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11228680
IEEE Xplore,Using Graph Neural Networks to Improve Generalization Capability of the Models for Deepfake Detection,H. She; Y. Hu; B. Liu; J. Li; C. -T. Li,2024,10.1109/TIFS.2024.3451356,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10654318
IEEE Xplore,A Novel Multi-Scale Spectral-Guided Graph Attention Network for DeepFake Video Detection,M. Irfan; M. J. Lee; A. Neyaz; D. Nobayashi,2025,10.1109/ISDFS65363.2025.11011972,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11011972
IEEE Xplore,GC-ConsFlow: Leveraging Optical Flow Residuals and Global Context for Robust Deepfake Detection,J. Chen; M. Hu; D. Zhang; J. Meng,2025,10.1109/ICME59968.2025.11209351,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11209351
IEEE Xplore,Deepfake Detection Using Graph Representation with Multi-dimensional Features,J. Chen; W. Lin; J. Xu,2023,10.1109/SWC57546.2023.10449093,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10449093
IEEE Xplore,A Dual-Network Architecture with Uncertainty-Aware Multimodal Fusion for Deepfake Detection,Y. Guo,2025,10.1109/ICCEA65460.2025.11103067,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11103067
IEEE Xplore,WaveGuard: Robust Deepfake Detection and Source Tracing via Dual-Tree Complex Wavelet and Graph Neural Networks,Z. He; Z. Guo; L. Wang; G. Yang; Y. Diao; D. Ma,2025,10.1109/TCSVT.2025.3628951,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11224900
IEEE Xplore,An Effective Approach for Deepfake Video Detection using Binarized Neural Network,P. K; A. Pandey; B. Rudra,2025,10.1109/IATMSI64286.2025.10984516,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10984516
IEEE Xplore,Deepfake Detection with Spatio-Temporal Consistency and Attention,Y. Chen; N. Akhtar; N. A. H. Haldar; A. Mian,2022,10.1109/DICTA56598.2022.10034609,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10034609
